name,age,nationality,place_of_birth,position,shirt_no,foot,club,agent,league
Ederson,29,Brazil Portugal,Osasco (SP),Goalkeeper,31,left,Man City,Gestifute,EPL
Stefan Ortega,30,GermanyÂ Â Spain,Hofgeismar,Goalkeeper,18,right,Man City,neblung ...,EPL
Scott Carson,37,England,Whitehaven,Goalkeeper,33,right,Man City,Wasserman,EPL
Ruben Dias,26,Portugal,Amadora,Defender - Centre-Back,3,right,Man City,Gestifute,EPL
Nathan Ake,28,NetherlandsÂ Â Cote d'Ivoire,Den Haag,Defender - Centre-Back,6,left,Man City,Wasserman,EPL
John Stones,28,England,Barnsley,Defender - Centre-Back,5,right,Man City,Wasserman,EPL
Aymeric Laporte,28,SpainÂ Â France,Agen,Defender - Centre-Back,14,left,Man City,,EPL
Manuel Akanji,27,SwitzerlandÂ Â Nigeria,Wiesendangen,Defender - Centre-Back,25,right,Man City,IFM,EPL
Sergio Gomez,22,Spain,Badalona,Defender - Left-Back,21,left,Man City,SEG,EPL
Benjamin Mendy,28,FranceÂ Â Senegal,Longjumeau,Defender - Left-Back,22,left,Man City,Sport Cover,EPL
Kyle Walker,32,England,Sheffield,Defender - Right-Back,2,right,Man City,CAA Base Ltd,EPL
Rico Lewis,18,England,Bury,Defender - Right-Back,82,right,Man City,CAA Base Ltd,EPL
Rodri,26,Spain,Madrid,midfield - Defensive Midfield,16,right,Man City,Pablo Barquero,EPL
Kalvin Phillips,27,EnglandÂ Â Jamaica,Leeds,midfield - Defensive Midfield,4,right,Man City,CAA Stellar,EPL
MÃ¡ximo Perrone,20,ArgentinaÂ Â Spain,Buenos Aires,midfield - Defensive Midfield,32,left,Man City,,EPL
Ikay Gundogan,32,Germany,Gelsenkirchen,midfield - Central Midfield,8,right,Man City,KIN Partners,EPL
Kevin De Bruyne,31,Belgium,Drongen,midfield - Attacking Midfield,17,right,Man City,,EPL
Bernardo Silva,28,Portugal,Lisboa,midfield - Attacking Midfield,20,left,Man City,Gestifute,EPL
Cole Palmer,21,England,Manchester,midfield - Attacking Midfield,80,left,Man City,CAA Base Ltd,EPL
Phil Foden,22,England,Stockport,Attack - Left Winger,47,left,Man City,,EPL
